"03bSnISJMiM_1","ANYHOW IT WAS REALLY GOOD","93","1"
"03bSnISJMiM_10","THERE IS SAD PART","93","0"
"03bSnISJMiM_11","A LOT OF SAD PARTS","93","0"
"03bSnISJMiM_12","BUT IT WAS REALLY REALLY AWESOME","93","1"
"03bSnISJMiM_13","AND ITS A REALLY FUNNY","93","1"
"03bSnISJMiM_2","THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED","93","0"
"03bSnISJMiM_3","I MEAN THEY DID A LITTLE BIT OF IT","93","0"
"03bSnISJMiM_4","BUT NOT A WHOLE BUNCH","93","0"
"03bSnISJMiM_5","AND THEY SHOULDVE I GUESS","93","1"
"03bSnISJMiM_6","THEY SHOULDVE LIVE UP WITH MORE","93","1"
"03bSnISJMiM_7","AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD","93","1"
"03bSnISJMiM_8","AND THERE IS LIKE SOMEONE WHILE SOMEONE THERE WAS A LOT OF ACTION","93","1"
"03bSnISJMiM_9","OH MY GOD A LOT OF ACTION","93","1"
"0h-zjBukYpk_1","NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL","91","0"
"0h-zjBukYpk_10","BUT YOU KNOW HE DID IT","91","0"
"0h-zjBukYpk_11","HES A STAR OF THE MOVIE","91","1"
"0h-zjBukYpk_12","NOTHING SPECIAL","91","0"
"0h-zjBukYpk_13","HE CARRIED IT","91","1"
"0h-zjBukYpk_14","WHICH IS A SMART MOVE SINCE YOU KNOW YOU HAVE TO BE REAL COMIC BOOK FAN TO GET WHAT HES NAME IS SUPPOSED TO BE","91","1"
"0h-zjBukYpk_15","BUT ITS PRETTY SELFEXPLANATORY","91","1"
"0h-zjBukYpk_16","UM I ACTUALLY THINK THAT LIEV SCHREIBER IS A GOOD ACTOR","91","1"
"0h-zjBukYpk_17","AND HE ALMOST LOOKS EXACTLY THE SAME AS THIS CHARACTER IN DEFIANCE","91","1"
"0h-zjBukYpk_18","I MEAN IT WAS LIKE HE WAS TOO LAZY TO TAKE OFF THE COSTUME OR SOMETHING","91","0"
"0h-zjBukYpk_19","NOW OTHER PERFORMANCES ARE BORDERLINE","91","0"
"0h-zjBukYpk_2","NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM","91","0"
"0h-zjBukYpk_20","OK BUT THE TWO BIG CHARACTER APPEARANCES IN THIS MOVIE ARE EASILY DEADPOOL AND GAMBIT","91","1"
"0h-zjBukYpk_21","ACTUALLY I LIKED HIM A LOT","91","1"
"0h-zjBukYpk_22","AND I THOUGHT HE MADE A GOOD ACTOR FOR THE DEAD POOR CHARACTER","91","1"
"0h-zjBukYpk_23","NOW HES SEEN AT THE BEGINNING THAT REALLY SOLD ME","91","1"
"0h-zjBukYpk_24","I MEAN THAT WAS IMPRESSIVE","91","1"
"0h-zjBukYpk_25","I LIKED THAT SCENE WHERE HE HAD A SWORDS IN THERE AND THERES BUNCH OF PEOPLE THAT ARE GONNA SHOOT HIM BOOM BOOM BOOM BOOM TAKE HIM DOWN TAKE HIM DOWN BAM BAM BAM BAM BAM TAKE THAT WITH MY MAGICAL SWORDS","91","1"
"0h-zjBukYpk_3","MY REASON IM A COMIC BOOK FAN","91","0"
"0h-zjBukYpk_4","THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY","91","0"
"0h-zjBukYpk_5","THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST","91","1"
"0h-zjBukYpk_6","STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX","91","0"
"0h-zjBukYpk_7","NOW HUGH JACKMAN WAS ALWAYS THE BEST CHOICE TO PLAY WOLVERINE I WILL ADMIT THAT","91","1"
"0h-zjBukYpk_8","AND IN MY OPINION HE CARRIED THE MOVIE FINE","91","1"
"0h-zjBukYpk_9","YOU KNOW NOTHING GREAT","91","0"
"1DmNV9C1hbY_1","BUT FOR THIS ONE I JUST DIDNT FEEL LIKE IT","34","0"
"1DmNV9C1hbY_10","KIDS ARE GONNA LOVE THE FILM","34","1"
"1DmNV9C1hbY_11","BUT FOR ME I WAS JUST A LITTLE BORED","34","0"
"1DmNV9C1hbY_12","SURE THERE WERE CUTE MONEY PARTS IN THE MIXTING OF THE FILM","34","1"
"1DmNV9C1hbY_13","BUT OTHERWISE I DONT KNOW","34","0"
"1DmNV9C1hbY_14","I DIDNT EVEN CARE FOR IT","34","0"
"1DmNV9C1hbY_2","UM I LOVED THE VERY FIRST ALVIN AND THE CHIPMUNKS MOVIE","34","1"
"1DmNV9C1hbY_3","BECAUSE IT HAD A REAL NOSTALGIC FEEL TO IT","34","1"
"1DmNV9C1hbY_4","IT REMINDED ME OF GETTING UP ON A SATURDAY MORNING AND EATING FRUIT LOOPS AND UM WATCHING CARTOONS","34","1"
"1DmNV9C1hbY_5","BUT YOU KNOW FOR THIS ONE I JUST DIDNT CARE","34","0"
"1DmNV9C1hbY_6","UM I SAW NO REASON WHY THEY NEEDED TO BRING BACK THE VILLAIN FROM THE FIRST ONE","34","0"
"1DmNV9C1hbY_7","AND UM WHILE THE TRAILER MADE THE FILM LOOK REAL NICE AND CUTE","34","0"
"1DmNV9C1hbY_8","IT WAS JUST FLAT","34","0"
"1DmNV9C1hbY_9","UM IM SURE KIDS ARE GONNA LOVE IT","34","1"
"1iG0909rllw_1","AND I THOUGHT THEY WERE AVERAGE","65","0"
"1iG0909rllw_10","OVERALL NEW MOON WAS IT WAS OK JUST AVERAGE","65","1"
"1iG0909rllw_11","THE THING IS ITS A VERY GOOD TRANSLATION OF THE BOOK","65","1"
"1iG0909rllw_12","ITS VERY VERY LOYAL TO THE BOOK","65","1"
"1iG0909rllw_13","AND I REALLY APPRECIATE THAT LOYALTY","65","1"
"1iG0909rllw_14","UM HOWEVER IT IS THIS LOYALTY TO THE ORIGINAL SOURCE THAT GIVES IT ITS FLAWS","65","0"
"1iG0909rllw_15","AND THE BOOK IS NOT NECESSARILY THE MOST THRILLING BOOK EVER","65","0"
"1iG0909rllw_16","I MEAN THE ENTIRE XXX IS BELLA SWAN KRISTEN KRISTENS STEWARDS CHARACTER MOBBING AROUND COMPLETELY DEPRESSED","65","0"
"1iG0909rllw_17","IT WASNT REALLY THE BEST THE MOST THRILLING READ EVER ILL SAY THAT","65","0"
"1iG0909rllw_18","SO OVERALLNEW MOON EVEN WITH THE BIGGER BETTER BUDGETS HUH IT WAS STILL TOO LONG","65","0"
"1iG0909rllw_19","THE ANGSTY TOO ANGSTY MOMENTS WITHDRAWN OUT TO THE MAX AS FAR AS THAY CAN GO","65","0"
"1iG0909rllw_2","LETS FACE IT THEY ARE REALLY NOT MASTER PIECES","65","0"
"1iG0909rllw_20","AND THE SCRIPT IT LEFT ALL THE KEY PLOTS AND EMOTION FROM THE CHARACTERS TO BE EXPOSED THROUGH DIALOGUE","65","1"
"1iG0909rllw_21","I THINK IT WAS EMPIRE MAGAZINES REVIEW OF NEW MOON THAT SAID THAT KRISTEN RELIED HEAVILY ON THE TACTIC OF TACTIC OF BLINKING A LOT WHICH SHE REALLY DOES DO A LOT","65","0"
"1iG0909rllw_22","BUT AT THE SAME GOES FOR ROB PATTINSON AS EDWARD AND TAYLOR LAUTNER AS JACOB THEY DO A LOT OF FROWNING IM A MANLY MAN AND I FROWN","65","0"
"1iG0909rllw_23","FOR THE MOMENT IN THIS THE WHOLE CINEMA WAS LAUGHTING","65","1"
"1iG0909rllw_24","AND YOU KNEW YOU SHOULDNT BE LAUGHING","65","0"
"1iG0909rllw_25","MY FAVORITE SCENE WOULD DEFINATELY BE THE VOLTURI","65","1"
"1iG0909rllw_26","UM THEN MY WINS ON SCREEN WISKERS I MEAN THEY WERE REALLY WORN IN A LOTS WHICH IS A SHAME BECAUSE I THOUGHT XXX REALLY RATHER GOOD","65","0"
"1iG0909rllw_27","AND UM MICHAEL SHEEN AS ARO AS WELL HE WAS RATHER ENJOYABLE TO WATCH","65","1"
"1iG0909rllw_28","AND I THINK THE VOLTURI THAT WAS MY EXCITING BIT OF THE ENTIRE FILM","65","1"
"1iG0909rllw_29","THE REST OF THE FILM WAS JUST WATCHING KRISTEN JUST MOB AROUND","65","0"
"1iG0909rllw_3","I THOUGHT TWILIGHT DIRECTED BY CATHERINE HARDWICKE WAS ACTUALLY REALLY RATHER ENJOYABLE","65","1"
